id;time_seconds;temperature
1129;252300;55.46880
1130;252600;55.46996
1131;252900;55.47087
1132;253200;55.47128
1133;253500;55.47159
1134;253800;55.47172
1135;254100;55.54652
1136;254400;55.73954
1137;254700;55.94544
1138;255000;56.05333
1139;255300;56.12801
1140;255600;56.16555
1141;255900;56.18984
1142;256200;56.20438
1143;256500;56.21288
1144;256800;56.22050
1145;257100;56.36008
1146;257400;56.57044
1147;257700;56.70772
1148;258000;56.81314
1149;258300;56.86255
1150;258600;56.89568
1151;258900;56.79102
1152;259200;56.58466
1153;259500;56.62905
1154;259800;56.78218
1155;260100;56.86843
1156;260400;56.91218
1157;260700;56.93183
1158;261000;56.94138
1159;261300;56.94562
1160;261600;56.94770
1161;261900;56.94861
1162;262200;56.94905
1163;262500;56.94925
1164;262800;56.94931
1165;263100;56.94931
1166;263400;56.96587
1167;263700;57.18792
1168;264000;57.43474
1169;264300;57.56035
1170;264600;57.62182
1171;264900;57.64943
1172;265200;57.66261
1173;265500;57.67305
1174;265800;57.87257
1175;266100;58.13349
1176;266400;58.33640
1177;266700;58.67589
1178;267000;58.79355
1179;267300;58.63616
1180;267600;58.51994
1181;267900;58.46317
1182;268200;58.45928
1183;268500;58.65396
1184;268800;58.62493
1185;269100;58.52258
1186;269400;58.48966
1187;269700;58.70583
1188;270000;58.93048
1189;270300;59.17506
1190;270600;59.51085
1191;270900;59.49932
1192;271200;59.45440
1193;271500;59.64550
1194;271800;59.77939
1195;272100;59.87043
1196;272400;60.16493
1197;272700;60.42334
1198;273000;60.55803
1199;273300;60.62140
1200;273600;61.59153
1201;273900;61.60276
1202;274200;61.60795
1203;274500;61.50386
1204;274800;61.25900
1205;275100;61.11095
1206;275400;61.03855
1207;275700;61.00446
1208;276000;61.07895
1209;276300;61.31695
1210;276600;61.47534
1211;276900;61.71834
1212;277200;61.98546
1213;277500;62.13226
1214;277800;62.11304
1215;278100;61.96309
1216;278400;62.06637
1217;278700;62.16664
1218;279000;62.21718
1219;279300;62.24734
1220;279600;62.43211
1221;279900;62.59361
1222;280200;62.47615
1223;280500;62.36016
1224;280800;62.13260
1225;281100;62.12555
1226;281400;62.45180
1227;281700;62.67940
1228;282000;62.78922
1229;282300;62.84244
1230;282600;62.86636
1231;282900;62.87784
1232;283200;62.88298
1233;283500;62.88543
1234;283800;62.88652
1235;284100;62.88703
1236;284400;62.88726
1237;284700;62.79120
1238;285000;62.70200
1239;285300;62.56734
1240;285600;62.15073
1241;285900;61.75057
1242;286200;61.38055
1243;286500;61.16429
1244;286800;61.06447
1245;287100;61.01591
1246;287400;60.99464
1247;287700;60.98472
1248;288000;60.98030
1249;288300;60.97816
1250;288600;60.97722
1251;288900;60.97677
1252;289200;60.97657
1253;289500;60.97657
1254;289800;60.97657
1255;290100;60.99116
1256;290400;61.18521
1257;290700;61.40079
1258;291000;61.51156
1259;291300;61.56623
1260;291600;61.59069
1261;291900;61.60251
1262;292200;61.60777
1263;292500;61.60971
1264;292800;61.48356
1265;293100;61.24054
1266;293400;61.10300
1267;293700;61.03418
1268;294000;60.94938
1269;294300;60.69780
1270;294600;60.52715
1271;294900;60.43872
1272;295200;60.34068
1273;295500;60.08792
1274;295800;59.91962
1275;296100;59.82936
1276;296400;59.63901
1277;296700;59.40246
1278;297000;59.27422
1279;297300;59.17162
1280;297600;58.93091
1281;297900;58.74244
1282;298200;58.57566
1283;298500;58.30029
1284;298800;58.03758
1285;299100;57.71418
1286;299400;57.42015
1287;299700;57.06799
1288;300000;56.67736
1289;300300;56.37314
1290;300600;56.03510
1291;300900;55.72955
1292;301200;55.37694
1293;301500;55.13714
1294;301800;55.01859
1295;302100;54.96230
1296;302400;54.93640
1297;302700;54.87810
1298;303000;54.65034
1299;303300;54.47595
1300;303600;54.38849
1301;303900;54.34208
1302;304200;54.16332
1303;304500;53.94081
1304;304800;53.81816
1305;305100;53.75946
1306;305400;53.66844
1307;305700;53.43007
1308;306000;53.26809
1309;306300;53.18838
1310;306600;53.14465
1311;306900;52.96201
1312;307200;52.74600
1313;307500;52.63034
1314;307800;52.57452
1315;308100;52.54289
1316;308400;52.37148
1317;308700;52.16086
1318;309000;52.04167
1319;309300;51.98560
1320;309600;51.95847
1321;309900;51.94627
1322;310200;51.94041
1323;310500;51.93780
1324;310800;51.83242
1325;311100;51.60027
1326;311400;51.45206
1327;311700;51.38307
1328;312000;51.34923
1329;312300;51.33424
1330;312600;51.32702
1331;312900;51.32381
1332;313200;51.32227
1333;313500;51.32159
1334;313800;51.32125
1335;314100;51.38900
1336;314400;51.62822
1337;314700;51.78608
1338;315000;51.86673
1339;315300;51.90322
1340;315600;51.92075
1341;315900;51.92855
1342;316200;51.95130
1343;316500;52.14678
1344;316800;52.34070
1345;317100;52.43783
1346;317400;52.48584
1347;317700;52.50731
1348;318000;52.51767
1349;318300;52.54144
1350;318600;52.74191
1351;318900;52.92512
1352;319200;53.02847
1353;319500;53.07539
1354;319800;53.09823
1355;320100;53.10831
1356;320400;53.11317
1357;320700;53.11533
1358;321000;53.11637
1359;321300;53.11683
1360;321600;53.11960
1361;321900;53.26071
1362;322200;53.48020
1363;322500;53.59915
1364;322800;53.65800
1365;323100;53.68476
1366;323400;53.69743
1367;323700;53.70315
1368;324000;53.70586
1369;324300;53.70708
1370;324600;53.70766
1371;324900;53.70792
1372;325200;53.70804
1373;325500;53.70809
1374;325800;53.73895
1375;326100;53.95087
1376;326400;54.13551
1377;326700;54.22790
1378;327000;54.27278
1379;327300;54.29314
1380;327600;54.30274
1381;327900;54.30709
1382;328200;54.30913
1383;328500;54.31007
1384;328800;54.31050
1385;329100;54.31070
1386;329400;54.31079
1387;329700;54.31082
1388;330000;54.31082
1389;330300;54.31082
1390;330600;54.31082
1391;330900;54.31082
1392;331200;54.31082
1393;331500;54.31082
1394;331800;54.31082
1395;332100;54.31082
1396;332400;54.31082
1397;332700;54.31082
1398;333000;54.31082
1399;333300;54.31082
1400;333600;54.31082
1401;333900;54.31082
1402;334200;54.31082
1403;334500;54.31082
1404;334800;54.31082
1405;335100;54.31082
1406;335400;54.31082
1407;335700;54.31082
1408;336000;54.31082
1409;336300;54.31082
1410;336600;54.38338
1411;336900;54.61573
1412;337200;54.77012
1413;337500;54.84711
1414;337800;54.88257
1415;338100;54.89938
1416;338400;52.46547
1417;338700;52.46987
1418;339000;52.47185
1419;339300;52.47279
1420;339600;52.47321
1421;339900;52.47342
1422;340200;52.47346
1423;340500;52.47346
1424;340800;52.47346
1425;341100;52.47346
1426;341400;52.47346
1427;341700;52.47346
1428;342000;52.47346
1429;342300;52.47346
1430;342600;52.47346
1431;342900;52.47346
1432;343200;52.47346
1433;343500;52.47346
1434;343800;52.47346
1435;344100;52.47346
1436;344400;52.47346
1437;344700;52.47346
1438;345000;52.47346
1439;345300;52.47346
1440;345600;52.47346
1441;345900;52.47346
1442;346200;52.47346
1443;346500;52.47346
1444;346800;52.47346
1445;347100;52.47346
1446;347400;52.47346
1447;347700;52.47346
1448;348000;52.47346
1449;348300;52.47346
1450;348600;52.60105
1451;348900;52.90064
1452;349200;53.07315
1453;349500;53.15159
1454;349800;53.18597
1455;350100;53.20088
1456;350400;53.20735
1457;350700;53.21016
1458;351000;53.21138
1459;351300;53.21191
1460;351600;53.21214
1461;351900;53.21219
1462;352200;53.21219
1463;352500;53.21219
1464;352800;53.26680
1465;353100;53.55952
1466;353400;53.77299
1467;353700;53.87306
1468;354000;53.91718
1469;354300;53.93636
1470;354600;53.94467
1471;354900;53.94828
1472;355200;53.94985
1473;355500;53.95052
1474;355800;53.95081
1475;356100;53.95092
1476;356400;53.95092
1477;356700;53.95092
1478;357000;53.95092
1479;357300;53.95092
1480;357600;53.95092
1481;357900;53.95124
1482;358200;54.11139
1483;358500;54.40977
1484;358800;54.57344
1485;359100;54.64725
1486;359400;54.67952
1487;359700;54.69354
1488;360000;56.32371
1489;360300;56.73197
1490;360600;56.73290
1491;360900;56.73330
1492;361200;56.73348
1493;361500;56.73352
1494;361800;56.73352
1495;362100;56.73352
1496;362400;56.73352
1497;362700;56.73352
1498;363000;56.73352
1499;363300;56.73352
1500;363600;56.73352
1501;363900;56.73352
1502;364200;56.73352
1503;364500;56.73352
1504;364800;56.73352
1505;365100;56.73352
1506;365400;56.73352
1507;365700;56.78448
1508;366000;57.03464
1509;366300;57.21222
1510;366600;57.29534
1511;366900;57.33190
1512;367200;57.34779
1513;367500;57.35469
1514;367800;57.35768
1515;368100;57.35898
1516;368400;57.35955
1517;368700;57.35979
1518;369000;57.35988
1519;369300;57.35988
1520;369600;57.40351
1521;369900;57.64569
1522;370200;57.82472
1523;370500;57.90902
1524;370800;57.94608
1525;371100;57.96218
1526;371400;57.96917
1527;371700;57.97220
1528;372000;57.97352
1529;372300;57.97409
1530;372600;57.97433
1531;372900;57.97443
1532;373200;57.97443
1533;373500;57.97443
1534;373800;57.97443
1535;374100;57.97443
1536;374400;57.97443
1537;374700;57.97443
1538;375000;57.97443
1539;375300;57.97443
1540;375600;57.97443
1541;375900;57.97443
1542;376200;57.97443
1543;376500;57.97443
1544;376800;57.97443
1545;377100;57.97443
1546;377400;57.97443
1547;377700;57.97443
1548;378000;57.97443
1549;378300;57.97443
1550;378600;57.97443
1551;378900;57.97443
1552;379200;57.97443
1553;379500;57.97443
1554;379800;57.97443
1555;380100;57.97443
1556;380400;57.97443
1557;380700;57.97443
1558;381000;57.97443
1559;381300;57.97443
1560;381600;57.97443
1561;381900;57.97443
1562;382200;57.97443
1563;382500;57.97443
1564;382800;57.97443
1565;383100;57.97443
1566;383400;57.97443
1567;383700;57.97443
1568;384000;57.97443
1569;384300;57.97443
1570;384600;57.97443
1571;384900;57.97443
1572;385200;57.89206
1573;385500;57.64067
1574;385800;57.48609
1575;386100;57.41507
1576;386400;57.38392
1577;386700;57.37040
1578;387000;57.36453
